Gregorian_date,lunar_day,number_lunar_days,lunar_month,Gregorian_month,season,mean_daily_temp,system,tank_id,colony_id,RO_<5 included,RT_angle_ALL,RO,RT_remove_NA,RT_angle
2022-02-22,22,30,Jan_2022,Feb_2022,winter,27.9974375,RAS,RAS_tank3,RAS_colony12,0,264,0,0,NA
2022-02-23,23,30,Jan_2022,Feb_2022,winter,28.00156944,RAS,RAS_tank3,RAS_colony12,0,276,0,0,NA
2022-02-24,24,30,Jan_2022,Feb_2022,winter,27.99607639,RAS,RAS_tank3,RAS_colony12,0,288,0,0,NA
2022-02-25,25,30,Jan_2022,Feb_2022,winter,27.98302083,RAS,RAS_tank3,RAS_colony12,0,300,0,0,NA
2022-02-26,26,30,Jan_2022,Feb_2022,winter,28.000875,RAS,RAS_tank3,RAS_colony12,11,312,11,11,312
2022-02-27,27,30,Jan_2022,Feb_2022,winter,28.005,RAS,RAS_tank3,RAS_colony12,18,324,18,18,324
2022-02-28,28,30,Jan_2022,Feb_2022,winter,28.005,RAS,RAS_tank3,RAS_colony12,59,336,59,59,336
2022-03-01,29,30,Jan_2022,Feb_2022,winter,28.0084375,RAS,RAS_tank3,RAS_colony12,169,348,169,169,348
2022-03-02,30,30,Jan_2022,Feb_2022,winter,28.00013953,RAS,RAS_tank3,RAS_colony12,66,360,66,66,360
2021-03-13,1,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,12,NA,0,NA
2021-03-14,2,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,24,NA,0,NA
2021-03-15,3,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,36,NA,0,NA
2021-03-16,4,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,48,NA,0,NA
2021-03-17,5,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,60,NA,0,NA
2021-03-18,6,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,72,NA,0,NA
2021-03-19,7,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,84,NA,0,NA
2021-03-20,8,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,96,NA,0,NA
2021-03-21,9,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,108,NA,0,NA
2021-03-22,10,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,120,NA,0,NA
2021-03-23,11,30,Feb_2021,Mar_2021,spring,NA,RAS,RAS_tank3,RAS_colony13,NA,132,NA,0,NA
